Name,Position Group,Position,Body Weight,Date,Day,Day Name,Week,Squat,Box Squat,Bench,Chin Ups,Opposition,Venue,Opposition Seed,Match Minutes,Result,Total Distance,Total Duration,Distance Zone 2-8 (m),HMLD,High Speed Running,VHSR,Max Speed,Accel Load,Accel Efforts,Accel Distance,Decel Efforts,Decel Distance,Relative Cumulative Mechanical Load (N),Scaled CML (N),Average Force per Effort (N),N/m,Nordic Right Hamstring (N),Nordic Left Hamstring (N),Nordic LvR % Imb,R Hip ABD (N),L Hip ABD (N),ABD LvR % Imb,R Hip ADD (N),L Hip ADD (N),ADD LvR % Imb,R Ankle PF (N),L Ankle PF (N),PF LvR % Imb,R Knee Ext (N),L Knee Ext (N),Knee LvR % Imb,R Neck Flex (N),L Neck Flex (N),Neck LvR % Imb
Apii Nicholls,Back,Fullback,,21/06/2025,D4,Saturday,PS6,,,,,,,,,,14:12:29,1:55:00,2056.73,481.02,219.58,4.01,7.08278,1555.459,49,203.4,45,48.8,18112.5,1811.25,192.6862,3.829611518,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,68.4,24/06/2025,D1,Tuesday,PS7,,,,,,,,,,3:23:02,1:51:54,3161.6,907.21,516.44,0,6.91543,2120.078,109,409.82,64,68.04,32016,3201.6,185.0636,5.156268798,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,26/06/2025,D2,Thursday,PS7,113,205,,5,,,,,,11:42:43,1:22:20,2501.05,927.24,673.72,116.9,7.62228,1697.138,61,296.34,61,83.42,23943,2394.3,196.2541,4.539397947,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,1/07/2025,D2,Tuesday,R1,,,,,,,,,,23:21:07,1:44:00,2650.21,554.22,425.66,14.27,7.27129,1902.538,51,210.72,31,37.15,14490,1449,176.7073,2.565976497,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,3/07/2025,D4,Thursday,R1,,,,,,,,,,2:49:55,1:32:00,2776.38,628.1,419.09,35.32,7.30353,1968.717,50,213.94,36,38.84,16353,1635.3,190.1512,2.701136648,309,328,3.00%,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,5/07/2025,D5,Saturday,R1,,,,,,,,,,9:20:10,1:14:04,1631.79,354.51,155.18,0,6.15409,1462.648,36,151.17,20,25.43,10143,1014.3,181.125,2.416502259,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,6/07/2025,MATCH,Sunday,R1,,,,,Roosters,Away,2,70,Loss,23:32:38,1:30:06,3422.12,970.73,406.21,12.79,7.22826,2188.634,73,275.18,82,100.16,33223.5,3322.35,214.3452,4.783814383,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,8/07/2025,D2,Tuesday,R2,,180,,5,,,,,,21:08:38,0:35:00,1098.29,262.44,86.64,0,5.83434,702.8625,15,60.97,10,10.71,4312.5,431.25,172.5,1.758136656,,,,,,,317.5,326.00,1.30%,,,,,,,,,
Apii Nicholls,Back,Fullback,,10/07/2025,D4,Thursday,R2,,,,,,,,,,12:47:31,2:05:42,3123.71,665.79,429.32,0,6.92697,2099.262,51,204.5,37,43.45,16077,1607.7,182.6932,2.278314294,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,12/07/2025,D5,Saturday,R2,,,,,,,,,,18:51:50,1:25:00,1454.07,411.99,298.72,0,6.57319,1153.627,30,112.18,22,26.06,9694.5,969.45,186.4327,2.567544877,,,,,,,,,,,,,,,,,,
