Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Emmanita Paki - 15/03/2025",Centre,15/03/2025,Saturday,01:34:52,4255.57495,2157.67001,363.36,256.34,20.36,7.40839,34,147,25,37.27,2.74464
"Emmanita Paki - 06/04/2025",Centre,06/04/2025,Sunday,00:36:40,2389.7121,1180.95999,324.37,180.6,0,6.54142,36,171.56,24,32.39,4.97926
"Emmanita Paki - 11/04/2025",Centre,11/04/2025,Friday,00:46:06,2567.16016,1037.50999,352.38,211.08,0,6.92479,34,153.69,21,22.58,4.08058
"Emmanita Paki - 15/04/2025",Centre,15/04/2025,Tuesday,01:33:13,3520.65527,1479.54004,530.44,626.24003,0,6.386,34,170.34,7,2.39,2.4156
"Emmanita Paki - 07/05/2025",Centre,07/05/2025,Wednesday,00:25:55,2.062,0,0,0,0,0.25035,0,0,0,0,0
"Emmanita Paki - 13/05/2025",Centre,13/05/2025,Tuesday,01:04:12,2730.77338,977.90001,290.33,31.88,8.32,7.33043,51,259.99,9,15.93,4.30391
"Emmanita Paki - 15/05/2025",Centre,15/05/2025,Thursday,01:46:30,4560.78973,1705.74996,479.84,252.59,12,7.19921,51,200.25001,26,28.8,3.14518
"Emmanita Paki - 17/05/2025",Centre,17/05/2025,Saturday,01:36:26,4396.84033,1621.50996,255.62,40.41,0,6.18777,45,214.51999,42,51.88,3.74394
"Emmanita Paki - 19/05/2025",Centre,19/05/2025,Monday,01:28:56,4916.71472,2336.41999,536.57999,167.98,0,6.68722,63,269.2,38,46.38,3.97166
"Emmanita Paki - 20/05/2025",Centre,20/05/2025,Tuesday,01:29:06,4170.79541,1729.01004,381.2,64.91,6.85,7.05857,68,262.99,28,32.34,4.23564
"Emmanita Paki - 22/05/2025",Centre,22/05/2025,Thursday,01:43:10,5175.05957,2636.38997,792.06,285.26,8.32,7.22998,97,381.74999,65,73.04,6.19259
"Emmanita Paki - 24/05/2025",Centre,24/05/2025,Saturday,01:31:39,4438.80078,1840.57997,307.89999,20.11,0,5.34928,61,271.4,52,56.52,4.74464
"Emmanita Paki - 26/05/2025",Centre,26/05/2025,Monday,01:27:26,5669.61768,3376.28001,629.14,287.85001,10.5,7.17653,72,261.85,35,27.59,3.52149
"Emmanita Paki - 27/05/2025",Centre,27/05/2025,Tuesday,01:31:56,3872.18677,1140.42998,214.73,88.03,0,6.12786,27,142.07001,13,21.44,1.90409
"Emmanita Paki - 29/05/2025",Centre,29/05/2025,Thursday,01:54:21,5896.19988,2889.03997,755.78997,184.92999,26.505,7.95644,88,354.11001,65,70.33,4.97091
"Emmanita Paki - 31/05/2025",Centre,31/05/2025,Saturday,00:54:33,2181.8681,729.72,191.25,49.84,0,6.8704,33,129.16,29,23.69,5.62087
"Emmanita Paki - 07/06/2025",Centre,07/06/2025,Saturday,01:40:03,6421.82785,3854.63,415.56,176.14,0,6.57884,57,278.18,33,53.82,2.80777
"Emmanita Paki - 09/06/2025",Centre,09/06/2025,Monday,01:34:25,6745.74194,3630.86,708.2,398.62,5.44,7.16775,56,210.14,38,51.63,2.71623
"Emmanita Paki - 10/06/2025",Centre,10/06/2025,Tuesday,01:27:07,5984.59344,3335.84997,796.77997,591.67001,0,6.77089,63,321.89,27,34.35,2.91532
"Emmanita Paki - 12/06/2025",Centre,12/06/2025,Thursday,03:19:50,9650.5137,3935.72999,1388.68001,838.01998,45.3,7.2415,110,555.54,74,115.44,3.82
"Emmanita Paki - 14/06/2025",Centre,14/06/2025,Saturday,01:39:05,4272.34993,2221.58998,445.62,206.6,0,6.58626,47,230.99,31,36.93,3.58819
"Emmanita Paki - 16/06/2025",Centre,16/06/2025,Monday,01:48:06,4486.8584,1737.30999,418.20001,239.80999,33.09,7.49535,51,223.57,33,43.5,3.49799
"Emmanita Paki - 17/06/2025",Centre,17/06/2025,Tuesday,01:31:54,5124.02045,2159.59996,662.24001,395.47,14.21,7.26119,66,277.53,50,54.67,4.58741
"Emmanita Paki - 19/06/2025",Centre,19/06/2025,Thursday,01:47:32,6040.58441,2776.36999,917.88999,472.88,88.35,7.83865,107,477.99999,75,84.78,5.94578
"Emmanita Paki - 21/06/2025",Centre,21/06/2025,Saturday,01:55:00,4460.94238,2053.40996,499.67001,240.79,3.48,7.03148,57,244.52,47,66.34,4.58199
"Emmanita Paki - 24/06/2025",Centre,24/06/2025,Tuesday,01:51:54,6618.28857,3170.68001,697.44998,445.82999,24.68,7.22705,78,363.91,53,65.09,3.90463
"Emmanita Paki - 26/06/2025",Centre,26/06/2025,Thursday,01:22:20,4335.96979,1934.72,633.38,451.71001,73.8,7.518,47,235.36,37,44.06,3.99011
"Emmanita Paki - 30/06/2025",Centre,30/06/2025,Monday,02:13:12,4444.58838,1552.28004,488.69,346.57001,25.23,7.71849,51,244.05,35,41.26,3.72835
"Emmanita Paki - 01/07/2025",Centre,01/07/2025,Tuesday,01:44:00,5482.96143,2516.28999,502.07999,384.11,0,6.97189,47,228.9,47,56.48,3.20867
"Emmanita Paki - 03/07/2025",Centre,03/07/2025,Thursday,01:32:00,5296.36572,2430.67004,500.10999,379.41,26.99,7.29486,31,151.89,31,38.08,2.5223
"Emmanita Paki - 05/07/2025",Centre,05/07/2025,Saturday,01:14:04,3897.43237,1462.07998,283.79001,134.97,0,6.26225,28,114.18,21,22.49,2.40684
"Emmanita Paki - 06/07/2025",Centre,06/07/2025,Sunday,01:30:06,5726.23926,2654.84999,490.92,231.19,0,6.4038,42,163.07,52,59.57,3.43568
"Emmanita Paki - 08/07/2025",Centre,08/07/2025,Tuesday,00:35:00,1929.38611,559.22,154.87,42.69,0,6.00994,12,53.96,7,3.08,1.83504
"Emmanita Paki - 10/07/2025",Centre,10/07/2025,Thursday,02:05:42,6395.08551,2740.99,768.38,575.59001,33.64,7.4898,60,255.53,43,46.86,3.12771
"Emmanita Paki - 12/07/2025",Centre,12/07/2025,Saturday,01:25:00,4089.90552,1331.92999,435.82999,262.35,4.9,7.06698,37,171.91,30,28.62,3.11462
"Emmanita Paki - 13/07/2025",Centre,13/07/2025,Sunday,01:16:49,6218.68237,3042.63002,692.48001,373.55999,0,6.77364,59,229.83,63,81.76,3.92077
"Emmanita Paki - 15/07/2025",Centre,15/07/2025,Tuesday,01:02:00,3282.61035,1265.27001,306.64999,142.94,0,6.57288,29,167.63,14,17.17,2.7798
"Emmanita Paki - 17/07/2025",Centre,17/07/2025,Thursday,02:00:00,6043.13428,2391.09004,609.94,402.50001,50.58,8.18338,46,194.72,40,40.92,2.6938
"Emmanita Paki - 19/07/2025",Centre,19/07/2025,Saturday,01:05:00,3152.95117,1116.22998,309.29001,157.72,0,6.82431,26,122.02,21,21.26,2.83623
"Emmanita Paki - 20/07/2025",Centre,20/07/2025,Sunday,01:23:38,6018.40894,3005.99001,701.07001,449.13,35.3,7.48393,55,222.57,48,85.22,3.66916
"Emmanita Paki - 23/07/2025",Centre,23/07/2025,Wednesday,01:58:58,5462.41064,2183.67003,634.69,368.67,0,6.80907,56,290.61,43,46.32,3.53479
"Emmanita Paki - 25/07/2025",Centre,25/07/2025,Friday,01:15:00,3524.43018,1391.40998,446.92001,281.46,1.27,7.0356,46,188.03001,24,32.78,4.03895
"Emmanita Paki - 26/07/2025",Centre,26/07/2025,Saturday,01:19:41,5979.26025,2965.20994,584.47998,262.83,4.14,7.0729,55,219.36,59,69.35,3.9984
"Emmanita Paki - 29/07/2025",Centre,29/07/2025,Tuesday,01:10:00,3640.05835,1677.34002,365.37,112.57,0,6.45854,44,178.28,25,20.35,3.63991
"Emmanita Paki - 31/07/2025",Centre,31/07/2025,Thursday,02:07:29,5911.34668,2249.16993,654.5,437.96,64.38,7.55956,52,229.98,42,46.47,3.23547
"Emmanita Paki - 03/08/2025",Centre,03/08/2025,Sunday,01:17:28,5805.71606,2947.78001,630.51001,284.25,11.98,7.29353,54,220.1,54,66.06,3.89788
"Emmanita Paki - 06/08/2025",Centre,06/08/2025,Wednesday,02:18:01,5839.80908,2599.58001,759.44,495.99999,4.82,7.06991,63,260.50999,47,73.69,3.69387
"Emmanita Paki - 09/08/2025",Centre,09/08/2025,Saturday,01:24:40,5725.01294,2449.07999,607.54001,395.85,28.31,7.53531,47,187.32,49,70.9,3.51292
"Emmanita Paki - 13/08/2025",Centre,13/08/2025,Wednesday,02:04:03,5793.82813,2303.79997,578.92999,373.14,25.76,7.36785,49,210.98,34,42.4,2.91051
"Emmanita Paki - 15/08/2025",Centre,15/08/2025,Friday,03:48:52,9523.87158,3852.54996,1253.79004,810.37997,8.06,7.07918,110,534.58999,70,85.1,3.73283
"Emmanita Paki - 16/08/2025",Centre,16/08/2025,Saturday,01:31:25,5937.4624,2274.15,464.14999,148.68,0,6.69799,44,137.78,59,67.28,3.60238
"Emmanita Paki - 19/08/2025",Centre,19/08/2025,Tuesday,01:38:57,5124.29883,2032.97005,382.34,152.2,0,6.63049,39,263.14,32,55.54,2.69959
"Emmanita Paki - 21/08/2025",Centre,21/08/2025,Thursday,01:55:47,5783.3999,2250.02997,735.78998,435.63,0,6.99537,66,278.62001,49,57.65,4.03915
"Emmanita Paki - 23/08/2025",Centre,23/08/2025,Saturday,01:39:29,4627.81152,1629.89,488.51001,209.28999,0,6.77186,60,226.42,49,50.13,4.81113
"Emmanita Paki - 24/08/2025",Centre,24/08/2025,Sunday,01:24:24,5401.4939,2829.40001,568.40999,264.2,18.42,8.29686,59,205.71,58,74.58,4.70314
"Emmanita Paki - 27/08/2025",Centre,27/08/2025,Wednesday,02:14:00,5730.15283,1957.18998,550.40002,326.33,4.75,7.08175,43,184.99999,49,46.85,3.43333
"Emmanita Paki - 29/08/2025",Centre,29/08/2025,Friday,02:42:03,3751.89722,1452.24002,463.32001,212.12,0,6.38195,49,189.84001,45,47.32,4.94203
"Emmanita Paki - 30/08/2025",Centre,30/08/2025,Saturday,01:19:33,5737.19775,2871.10001,484.53,153.86,0,6.87162,48,195.91,69,66.87,4.10348
"Emmanita Paki - 04/09/2025",Centre,04/09/2025,Thursday,01:45:00,4661.27832,1647.41999,567.90997,424.59,4.12,7.09757,44,210.84001,37,44.97,3.78212
"Emmanita Paki - 06/09/2025",Centre,06/09/2025,Saturday,01:28:41,3733.49707,1061.59,346.79001,150.5,0,6.78147,38,165.37,35,38.73,3.9692
"Emmanita Paki - 07/09/2025",Centre,07/09/2025,Sunday,01:31:50,6553.18799,3272.85994,712.95001,253.61,11.97,7.12587,73,302.95001,75,96.04,4.78447
"Emmanita Paki - 11/09/2025",Centre,11/09/2025,Thursday,01:56:11,5489.24902,1963.98002,699.87,384.84001,45.24,8.33815,53,245.23001,62,69.6,4.49497
"Emmanita Paki - 14/09/2025",Centre,14/09/2025,Sunday,01:21:57,6019.35742,2686.58002,623.62997,321.44,43.98,7.60367,47,182.75,59,75.73,3.78379
"Felila Kia - 07/05/2025","Second Row",07/05/2025,Wednesday,01:27:35,3368.32599,1200.11001,238.36,63.28,0,6.95969,35,146.57,20,25.97,4.37576
"Felila Kia - 13/05/2025","Second Row",13/05/2025,Tuesday,01:04:12,2348.29684,770.22,197.76,13.44,0,5.2685,48,194.54,7,10.22,6.36334
"Felila Kia - 15/05/2025","Second Row",15/05/2025,Thursday,01:46:30,4085.01469,1693.10003,350.57999,181.39,0,6.51526,38,183.65,15,19.17,3.40831
"Felila Kia - 17/05/2025","Second Row",17/05/2025,Saturday,01:36:26,4616.17334,2053.68998,161.61,42.74,0,5.3743,30,150.89,9,19.49,2.26486
"Felila Kia - 19/05/2025","Second Row",19/05/2025,Monday,01:28:56,4661.89166,2165.83999,417.76,106.03,0,6.17858,56,253.00999,23,21.36,4.67128
"Felila Kia - 20/05/2025","Second Row",20/05/2025,Tuesday,01:29:06,3696.68726,1407.91001,200.10999,50.01,0,6.0538,32,162.4,14,18.91,3.17311
"Felila Kia - 22/05/2025","Second Row",22/05/2025,Thursday,01:43:10,4699.68848,2320.45997,516.69,136.53,0,6.96568,72,274.01,38,43.04,6.22892
"Felila Kia - 24/05/2025","Second Row",24/05/2025,Saturday,01:31:39,4350.82959,1746.42005,194.41,0,0,4.87636,37,198.80999,32,41.66,4.04406
"Felila Kia - 26/05/2025","Second Row",26/05/2025,Monday,01:27:26,5535.47656,3008.91998,290.70999,51.92,0,5.89891,48,181.87999,26,19.97,3.4642
"Felila Kia - 27/05/2025","Second Row",27/05/2025,Tuesday,01:31:56,15.534,0,0,0,0,0.75838,0,0,0,0,0
"Felila Kia - 29/05/2025","Second Row",29/05/2025,Thursday,02:14:06,245.73703,0.48,0,0,0,2.17946,0,0,0,0,0
"Felila Kia - 31/05/2025","Second Row",31/05/2025,Saturday,01:32:11,4799.54575,2186.26001,40.53,22.33,0,5.2343,3,30.19,0,2.2,0.15939
"Felila Kia - 02/06/2025","Second Row",02/06/2025,Monday,01:54:28,5930.23759,2870.11002,341.96,193.24,0,6.36187,34,162.77,22,28.79,2.494
"Felila Kia - 05/06/2025","Second Row",05/06/2025,Thursday,02:33:32,5306.72833,1921.37001,390.51999,165.29,0,6.6778,34,150.89001,10,12.08,2.22962
"Felila Kia - 09/06/2025","Second Row",09/06/2025,Monday,01:34:25,4.287,0,0,0,0,0.42495,0,0,0,0,0
"Felila Kia - 12/06/2025","Second Row",12/06/2025,Thursday,03:38:07,9809.83301,4684.46008,149.17999,0,0,4.61168,30,136.9,4,3.08,0.88381
"Felila Kia - 14/06/2025","Second Row",14/06/2025,Saturday,01:49:59,4166.15219,2649.57996,34.02,0,0,4.56003,6,56.43,2,3.42,0.48966
"Felila Kia - 16/06/2025","Second Row",16/06/2025,Monday,01:48:06,1801.27197,544.07,27.84,0,0,4.97092,1,28.22,0,6.57,0.14157
"Felila Kia - 21/06/2025","Second Row",21/06/2025,Saturday,01:55:00,3302.06836,1712.41995,3.71,0,0,4.79409,0,12.15,0,0,0
"Felila Kia - 24/06/2025","Second Row",24/06/2025,Tuesday,00:53:29,3472.12329,2167.25001,9.38,0,0,4.26458,2,13.87,0,1.83,0.14688
"Felila Kia - 26/06/2025","Second Row",26/06/2025,Thursday,01:01:24,3818.48926,1993.78998,42.67,0,0,4.98918,5,45.33,3,8.51,0.53424
"Felila Kia - 30/06/2025","Second Row",30/06/2025,Monday,02:10:33,3413.94922,2423.31996,48.06,0,0,4.5835,11,44.22,8,20.91,1.41918
"Felila Kia - 03/07/2025","Second Row",03/07/2025,Thursday,01:32:00,3589.60718,2077.99001,87.52,30.24,0,5.24608,10,70.73,1,15.96,0.78142
"Felila Kia - 05/07/2025","Second Row",05/07/2025,Saturday,00:58:04,3251.47021,1917.28,67.73,0.47,0,5.00226,11,51.66,6,12.92,1.33324
"Felila Kia - 08/07/2025","Second Row",08/07/2025,Tuesday,01:03:00,3982.74341,1841.56997,275.60999,322.38,0,5.84955,36,189.11,25,29.14,4.00804
"Felila Kia - 10/07/2025","Second Row",10/07/2025,Thursday,02:05:42,5408.18762,2297.74,288.46,243.63,0,6.679,29,144.25,7,7.73,1.75401
"Felila Kia - 12/07/2025","Second Row",12/07/2025,Saturday,00:45:00,1986.34766,706.78001,117.46,56.53,0,5.83849,20,87.25,5,30.54,3.20941
"Felila Kia - 15/07/2025","Second Row",15/07/2025,Tuesday,01:20:55,3959.54553,1759.66999,447.09,226.1,0,6.31212,53,203.47,40,25.87,6.18253
"Felila Kia - 16/07/2025","Second Row",16/07/2025,Wednesday,05:21:19,0,0,0,0,0,0,0,0,0,0,n/a
"Felila Kia - 17/07/2025","Second Row",17/07/2025,Thursday,02:00:00,4398.84033,1371.73002,265.89001,137.69,6.3,7.07355,25,131.11,21,20.33,3.14196
"Felila Kia - 19/07/2025","Second Row",19/07/2025,Saturday,00:46:35,2720.65967,1473.07997,137.13,16.68,0,5.08382,24,103.25,19,25.02,4.14275
"Felila Kia - 22/07/2025","Second Row",22/07/2025,Tuesday,01:17:00,2972.68579,806.79001,158.42,43.1,0,5.40165,21,109.21,17,36.79,3.39693
"Felila Kia - 23/07/2025","Second Row",23/07/2025,Wednesday,01:58:58,3991.75122,1187.28002,187.46001,86.35,0,6.54365,20,104.72,12,20,2.06977
"Felila Kia - 25/07/2025","Second Row",25/07/2025,Friday,00:48:47,2579.21509,1350.39,222.94,185.95,0,5.72635,21,109.97,12,16.58,3.46036
"Felila Kia - 29/07/2025","Second Row",29/07/2025,Tuesday,01:10:00,2995.88599,1150.26001,76.61,15.31,0,5.21285,8,55.22,5,14.54,1.17461
"Felila Kia - 31/07/2025","Second Row",31/07/2025,Thursday,02:07:29,4576.18311,1546.93001,249.64,175.3,0,6.71402,21,101.09,11,10.21,1.80543
"Felila Kia - 05/08/2025","Second Row",05/08/2025,Tuesday,01:05:01,3159.67749,1414.24999,265.09,162.03001,0,6.19027,35,148.57,20,23.82,4.85841
"Felila Kia - 06/08/2025","Second Row",06/08/2025,Wednesday,02:18:01,5415.03418,2286.58999,497.14999,186.17,0,6.71528,56,235.68,31,44.33,4.37006
"Felila Kia - 11/08/2025","Second Row",11/08/2025,Monday,01:17:27,3339.1543,1207.38002,134.03,2.48,0,5.02811,29,153.07999,18,30.08,3.80306
"Felila Kia - 15/08/2025","Second Row",15/08/2025,Friday,02:15:39,38.143,0,0,0,0,1.85283,0,1.49,0,0,0
"Felila Kia - 18/08/2025","Second Row",18/08/2025,Monday,00:52:45,2579.29712,1021.11,130.66,2.18,0,5.20685,22,120.26,9,6.42,3.06479
"Felila Kia - 19/08/2025","Second Row",19/08/2025,Tuesday,01:38:57,4874.479,2200.01,200,40.92,0,5.65979,32,216.78,17,38.91,2.66798
"Felila Kia - 21/08/2025","Second Row",21/08/2025,Thursday,01:55:47,4309.44238,1499.78998,332.79001,233.56,0,6.94728,30,146.08,16,13.51,2.88761
"Felila Kia - 23/08/2025","Second Row",23/08/2025,Saturday,01:39:29,2931.15137,919.95,168.3,12.7,0,5.93307,29,100.94,13,12.14,3.65385
"Felila Kia - 27/08/2025","Second Row",27/08/2025,Wednesday,02:14:00,4851.41211,1491.44999,379.87,148.53,17.73,7.18122,48,202.12,32,31.47,4.61494
"Felila Kia - 29/08/2025","Second Row",29/08/2025,Friday,02:42:09,2985.91724,1026.53999,230.81,29.97,0,5.6865,42,164.14,28,20.78,6.1147
"Felila Kia - 30/08/2025","Second Row",30/08/2025,Saturday,00:45:30,2041.39282,1257.70999,111.83,106.25,0,5.68888,13,50.15,7,9.83,2.923
"Felila Kia - 04/09/2025","Second Row",04/09/2025,Thursday,01:45:00,3437.48413,1369.56001,281.07999,125.58,0,6.92043,25,108.26,13,17.04,2.90794
"Felila Kia - 06/09/2025","Second Row",06/09/2025,Saturday,01:28:41,3922.05713,2074.27,269.73001,100.27,0,5.37192,30,125.08,15,14.47,3.15982
"Felila Kia - 11/09/2025","Second Row",11/09/2025,Thursday,01:56:11,4697.11084,1518.22001,352.79001,170.02,0,6.98773,43,173.12,23,24.07,3.84364
"Harata Butler - 07/05/2025",Prop,07/05/2025,Wednesday,01:27:35,3910.76718,1757.1,446.34,84.45,23.55,7.34101,72,313.85,45,54.39,8.02477
"Harata Butler - 13/05/2025",Prop,13/05/2025,Tuesday,01:04:12,2753.6767,1016.51,265.31,38.31,0,5.99741,49,242.01,12,16.11,5.77029
"Harata Butler - 15/05/2025",Prop,15/05/2025,Thursday,01:46:30,3914.29361,1415.50001,384.37,152.63,0,6.81867,47,219.75,21,32.23,4.52725
"Harata Butler - 17/05/2025",Prop,17/05/2025,Saturday,01:36:26,4786.04736,1899.10005,249.99001,4.45,0,5.05419,47,233.05,28,36.42,3.94052
"Harata Butler - 19/05/2025",Prop,19/05/2025,Monday,01:28:56,5044.82007,2363.30007,540.55001,138.81,0,6.10435,63,290.55,36,39.89,5.07283
"Harata Butler - 20/05/2025",Prop,20/05/2025,Tuesday,01:29:06,4130.66614,1854.95997,281.11001,57.05,0,6.30369,36,195.20999,24,23.96,3.59506
"Harata Butler - 22/05/2025",Prop,22/05/2025,Thursday,01:43:10,4485.47949,2125.20997,451.57999,135.75,21.52,7.3871,58,213.10001,46,51.28,6.22408
"Harata Butler - 24/05/2025",Prop,24/05/2025,Saturday,01:31:39,4443.5625,1944.56996,290.23999,0,0,4.7796,56,289.55999,47,52.82,5.91519
"Harata Butler - 26/05/2025",Prop,26/05/2025,Monday,01:27:26,5984.07593,3464.69003,464.03001,125.25,0,6.18462,61,251.62,28,23.25,3.73065
"Harata Butler - 27/05/2025",Prop,27/05/2025,Tuesday,01:31:56,3506.89233,938.93,147.75999,3.36,0,5.08438,21,111.57,13,15.97,2.51248
"Harata Butler - 31/05/2025",Prop,31/05/2025,Saturday,01:24:35,4452.90109,1970.81001,325.72,44.49,0,6.3354,50,274.41,48,55.09,5.7138
"Harata Butler - 02/06/2025",Prop,02/06/2025,Monday,01:53:56,6121.78685,3289.81,572.08999,189.8,0,6.55584,57,231.37,43,52.25,4.20465
"Harata Butler - 03/06/2025",Prop,03/06/2025,Tuesday,02:07:36,3633.55278,1041.49999,144.83,48.21,0,5.8603,19,123.98,18,27.73,2.68374
"Harata Butler - 07/06/2025",Prop,07/06/2025,Saturday,01:40:02,5526.83988,3004.13999,222.14,29.55,0,5.44181,38,191.14,36,27.94,3.43922
"Harata Butler - 09/06/2025",Prop,09/06/2025,Monday,01:34:25,5.551,0,0,0,0,0.2731,0,0,0,0,0
"Harata Butler - 14/06/2025",Prop,14/06/2025,Saturday,01:39:05,3725.09109,1591.69997,253.14,84.43,0,5.83953,38,164.03,26,27.9,4.89008
"Harata Butler - 16/06/2025",Prop,16/06/2025,Monday,01:48:06,4513.02051,1653.70004,337.79001,85.53,0,6.34505,52,225.47,31,42.4,4.72732
"Harata Butler - 17/06/2025",Prop,17/06/2025,Tuesday,01:31:54,4682.08252,1868.34,419.87,105.57,12.65,7.1103,52,189.55999,45,36.89,5.5927
"Harata Butler - 19/06/2025",Prop,19/06/2025,Thursday,01:47:32,5258.82776,2309.66997,620.52,359.2,29.32,7.37355,60,295.32,35,40.62,4.89463
"Harata Butler - 21/06/2025",Prop,21/06/2025,Saturday,01:55:00,4642.30713,1873.27002,364,66.86,0,6.27506,52,228,34,47.88,4.8729
"Harata Butler - 24/06/2025",Prop,24/06/2025,Tuesday,01:51:54,5350.02228,2411.62,527.75999,209.56,0,6.38888,81,345.73,43,56.45,5.92147
"Harata Butler - 26/06/2025",Prop,26/06/2025,Thursday,06:39:55,4165.25427,1742.93002,473.87,118.6,0,6.86847,51,219.02,40,39.69,5.76375
"Harata Butler - 30/06/2025",Prop,30/06/2025,Monday,02:13:38,3818.88062,1044.67003,273.48001,148.17,9.1,7.18865,34,174.74,27,27.2,4.13485
"Harata Butler - 01/07/2025",Prop,01/07/2025,Tuesday,01:44:00,4811.72314,1938.48002,377.32001,133.14,0,6.41637,54,209.32001,40,44.62,5.14369
"Harata Butler - 03/07/2025",Prop,03/07/2025,Thursday,01:32:00,5092.72607,2098.18997,424.69,286.95999,0,6.84585,40,165.91,32,30.98,3.6935
"Harata Butler - 05/07/2025",Prop,05/07/2025,Saturday,01:14:04,2859.35815,927.01001,155.59,55.14,0,5.733,21,80.94,12,10.58,2.85641
"Harata Butler - 06/07/2025",Prop,06/07/2025,Sunday,01:30:06,3824.52356,1867.57997,268.83,44.99,0,6.14127,28,102.31,27,33.65,3.74047
"Harata Butler - 08/07/2025",Prop,08/07/2025,Tuesday,00:35:00,1324.12512,224.2,55.92,0,0,4.88094,10,33.36,3,2.42,2.42991
"Harata Butler - 10/07/2025",Prop,10/07/2025,Thursday,02:05:42,6128.32019,2554.94002,516.13,278.58,14.98,7.25291,46,220.84,36,37.35,3.59438
"Harata Butler - 12/07/2025",Prop,12/07/2025,Saturday,01:25:00,3020.42334,892.25998,250.89999,74.59,0,6.39989,37,143.16,23,18.59,5.17874
"Harata Butler - 13/07/2025",Prop,13/07/2025,Sunday,01:16:49,3967.3562,2000.38999,318.25999,125.13,13.98,7.12125,32,141.53,30,40.52,4.42927
"Harata Butler - 15/07/2025",Prop,15/07/2025,Tuesday,01:02:00,2854.2251,1103.09003,242.09,58.15,0,5.7976,29,121.11,29,22.89,5.30687
"Harata Butler - 17/07/2025",Prop,17/07/2025,Thursday,02:00:00,5054.89014,1709.95002,380.98999,180.52,25.08,7.66414,35,168.6,31,39.51,3.41758
"Harata Butler - 19/07/2025",Prop,19/07/2025,Saturday,01:05:00,2454.4519,853.06999,189.08,54.6,0,6.08613,21,97.87,23,18.11,4.86035
"Harata Butler - 20/07/2025",Prop,20/07/2025,Sunday,01:23:38,3284.00562,1803.95998,247.75001,63.75,0,5.88711,29,111.22,34,43.96,5.06455
"Harata Butler - 23/07/2025",Prop,23/07/2025,Wednesday,01:58:58,5207.75977,1720.06997,429.98001,263.54999,0,6.96045,42,194.38,24,29.13,3.61192
"Harata Butler - 25/07/2025",Prop,25/07/2025,Friday,01:15:00,2628.94507,901.93,203.13,35.71,0,5.4321,36,134.24,18,18.48,5.23442
"Harata Butler - 26/07/2025",Prop,26/07/2025,Saturday,01:19:41,2884.41064,1229.95002,216.78,35.67,0,6.07836,30,102.8,33,41.55,5.64604
"Harata Butler - 29/07/2025",Prop,29/07/2025,Tuesday,01:10:00,2754.30103,1240.72005,125.21,41.86,0,5.94318,13,67.61,2,2.7,1.34789
"Harata Butler - 31/07/2025",Prop,31/07/2025,Thursday,02:07:29,4367.1001,1338.54998,363.32001,284.75,0,6.7738,31,126.48,15,19.26,2.84502
"Harata Butler - 03/08/2025",Prop,03/08/2025,Sunday,01:17:28,3740.63196,1847.39999,272.84,24.02,0,5.68795,29,117.67,31,39.04,4.12871
"Harata Butler - 06/08/2025",Prop,06/08/2025,Wednesday,02:18:01,4070.10938,1591.7,414.60001,358.74001,0,6.50608,34,151.4,25,24.94,3.78233
"Harata Butler - 09/08/2025",Prop,09/08/2025,Saturday,01:24:40,3953.45313,1795.37003,320.61,87.78,0,6.05133,33,116.82,38,48.05,4.90811
"Harata Butler - 13/08/2025",Prop,13/08/2025,Wednesday,02:04:03,5081.86328,1805.40997,484.26001,291.09,14.89,7.11981,45,194.59,29,34.82,3.97413
"Harata Butler - 15/08/2025",Prop,15/08/2025,Friday,03:48:52,6283.24243,2107.07998,457.70001,148.46001,0,5.83589,62,277.86,38,32.46,4.28569
"Harata Butler - 16/08/2025",Prop,16/08/2025,Saturday,01:31:25,3882.57202,1629.86003,304.89,80.19,0,6.31809,37,133.93,36,50.51,5.06146
"Harata Butler - 19/08/2025",Prop,19/08/2025,Tuesday,01:38:57,4859.53223,1887.87006,265.14001,73.31,0,6.36408,34,219.84,22,37.23,2.97436
"Harata Butler - 21/08/2025",Prop,21/08/2025,Thursday,01:55:47,4926.43799,1725.87998,564.82001,266.10001,0,6.75298,70,274.77,43,46.75,6.14927
"Harata Butler - 23/08/2025",Prop,23/08/2025,Saturday,01:39:29,3401.06299,1048.88998,277.16,49.84,0,5.47476,40,173.73999,24,21.84,4.94845
"Harata Butler - 24/08/2025",Prop,24/08/2025,Sunday,01:24:24,3960.68738,1955.85002,350.49001,71.99,0,6.50785,32,132.88,35,52.22,4.73668
"Harata Butler - 27/08/2025",Prop,27/08/2025,Wednesday,02:14:00,5047.49512,1603.2,403.59,159.17,0,6.1169,50,202.84,35,31.57,4.38366
"Harata Butler - 29/08/2025",Prop,29/08/2025,Friday,02:42:09,2991.77612,977.46999,233.24001,48.23,0,5.7594,31,148.22,27,24.06,5.3607
