Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Apii Nicholls - 17/07/2025","Full Back",17/07/2025,Thursday,02:00:00,5656.65527,2118.89001,593.75,342.20999,41.33,7.43363,42,145.63,41,52.6,2.70186
"Apii Nicholls - 19/07/2025","Full Back",19/07/2025,Saturday,01:05:00,3393.58984,1388.55002,393.01999,198.72,3.18,7.09607,31,113.96,23,33.91,2.90754
"Apii Nicholls - 20/07/2025","Full Back",20/07/2025,Sunday,01:23:38,7136.86572,3898.09999,933.86002,342.00001,6.59,7.22205,87,298.03,104,124.26,5.13377
"Apii Nicholls - 23/07/2025","Full Back",23/07/2025,Wednesday,01:58:58,6286.41211,2760.46001,698.13,362.96999,0,6.79744,68,272.68,46,49.88,3.49587
"Apii Nicholls - 25/07/2025","Full Back",25/07/2025,Friday,01:15:00,3578.38232,1358.45,440.14001,236.7,0,6.43287,39,175.42999,30,36.87,3.51905
"Apii Nicholls - 26/07/2025","Full Back",26/07/2025,Saturday,01:19:41,6542.88599,2958.34007,813.01999,333.63,9.73,7.16187,85,276,80,89.86,4.77725
"Apii Nicholls - 31/07/2025","Full Back",31/07/2025,Thursday,02:07:29,5884.82813,1817.08997,407.92999,240.71,0,6.85582,30,157.41,32,36.69,2.02257
"Apii Nicholls - 03/08/2025","Full Back",03/08/2025,Sunday,01:17:28,5518.10718,2750.90999,664.22,290.3,13.64,7.42705,55,248.29,59,72.3,4.18894
"Apii Nicholls - 06/08/2025","Full Back",06/08/2025,Wednesday,02:18:01,6461.01367,2677.74005,835.06,507.88001,10.93,7.17456,70,317.43,66,83.05,3.94071
"Apii Nicholls - 09/08/2025","Full Back",09/08/2025,Saturday,01:24:40,5935.60449,2849.38,677.50998,282.56001,0,6.87727,62,224.08,47,57.45,3.6618
